Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,10,0.01,0.01,0.2836475277012027
100% Corpus,10,0.01,0.31,0.27958057926475377
100% Corpus,10,0.01,0.61,0.29505296305461426
100% Corpus,10,0.01,0.9099999999999999,0.31435596428653684
100% Corpus,10,0.01,symmetric,0.28187306276034557
100% Corpus,10,0.31,0.01,0.2793004869377868
100% Corpus,10,0.31,0.31,0.2787226763380447
100% Corpus,10,0.31,0.61,0.3006754961554844
100% Corpus,10,0.31,0.9099999999999999,0.31074121925489634
100% Corpus,10,0.31,symmetric,0.28107278924587836
100% Corpus,10,0.61,0.01,0.2704743508434482
100% Corpus,10,0.61,0.31,0.2773211679243108
100% Corpus,10,0.61,0.61,0.29475498044435067
100% Corpus,10,0.61,0.9099999999999999,0.31472402847731995
100% Corpus,10,0.61,symmetric,0.27104536511279237
100% Corpus,10,0.9099999999999999,0.01,0.27588544935843823
100% Corpus,10,0.9099999999999999,0.31,0.28891438831683985
100% Corpus,10,0.9099999999999999,0.61,0.2999359041915258
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.3047258828731642
100% Corpus,10,0.9099999999999999,symmetric,0.28224958687436374
100% Corpus,10,symmetric,0.01,0.2836113073675476
100% Corpus,10,symmetric,0.31,0.2833739870289641
100% Corpus,10,symmetric,0.61,0.30438936966688435
100% Corpus,10,symmetric,0.9099999999999999,0.3126177201686746
100% Corpus,10,symmetric,symmetric,0.28270881336742126
100% Corpus,10,asymmetric,0.01,0.2859667070597391
100% Corpus,10,asymmetric,0.31,0.2938863877652519
100% Corpus,10,asymmetric,0.61,0.31281116858102714
100% Corpus,10,asymmetric,0.9099999999999999,0.31986156846195496
100% Corpus,10,asymmetric,symmetric,0.2831411428185887
100% Corpus,20,0.01,0.01,0.27962137009552296
100% Corpus,20,0.01,0.31,0.29335662628844617
100% Corpus,20,0.01,0.61,0.34481629891479326
100% Corpus,20,0.01,0.9099999999999999,0.4145346278770006
100% Corpus,20,0.01,symmetric,0.2797824668067874
100% Corpus,20,0.31,0.01,0.28163050551339974
100% Corpus,20,0.31,0.31,0.30073624768383306
100% Corpus,20,0.31,0.61,0.35164801730192774
100% Corpus,20,0.31,0.9099999999999999,0.38812662067724685
100% Corpus,20,0.31,symmetric,0.2774250096339034
100% Corpus,20,0.61,0.01,0.28035013097102046
100% Corpus,20,0.61,0.31,0.28528125632558615
100% Corpus,20,0.61,0.61,0.35807179899248137
100% Corpus,20,0.61,0.9099999999999999,0.35108732902113415
100% Corpus,20,0.61,symmetric,0.2788075869390222
100% Corpus,20,0.9099999999999999,0.01,0.2704237251628697
100% Corpus,20,0.9099999999999999,0.31,0.27897747382495097
100% Corpus,20,0.9099999999999999,0.61,0.3249244845077591
100% Corpus,20,0.9099999999999999,0.9099999999999999,0.294429214004191
100% Corpus,20,0.9099999999999999,symmetric,0.26949598052264767
100% Corpus,20,symmetric,0.01,0.2810228147050778
100% Corpus,20,symmetric,0.31,0.29590921993124264
100% Corpus,20,symmetric,0.61,0.3475867004824675
100% Corpus,20,symmetric,0.9099999999999999,0.4127399797193972
100% Corpus,20,symmetric,symmetric,0.2829687310810013
100% Corpus,20,asymmetric,0.01,0.28377677590925504
100% Corpus,20,asymmetric,0.31,0.29557474523641053
100% Corpus,20,asymmetric,0.61,0.34014983839861723
100% Corpus,20,asymmetric,0.9099999999999999,0.4068735944283697
100% Corpus,20,asymmetric,symmetric,0.2788849289444955Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,30,0.01,0.01,0.2911443435697827
100% Corpus,30,0.01,0.31,0.3314162025645871
100% Corpus,30,0.01,0.61,0.39347634590081343
100% Corpus,30,0.01,0.9099999999999999,0.37956289222499057
100% Corpus,30,0.01,symmetric,0.2871316307805356
100% Corpus,30,0.31,0.01,0.2937691156312571
100% Corpus,30,0.31,0.31,0.36424589681981195
100% Corpus,30,0.31,0.61,0.346898009266654
100% Corpus,30,0.31,0.9099999999999999,0.33649164204478926
100% Corpus,30,0.31,symmetric,0.29178847300679567
100% Corpus,30,0.61,0.01,0.3070569539748514
100% Corpus,30,0.61,0.31,0.31650977877153724
100% Corpus,30,0.61,0.61,0.31643778414533236
100% Corpus,30,0.61,0.9099999999999999,0.3493507050043861
100% Corpus,30,0.61,symmetric,0.3050264378095251
100% Corpus,30,0.9099999999999999,0.01,0.2917718967283224
100% Corpus,30,0.9099999999999999,0.31,0.2711057778954596
100% Corpus,30,0.9099999999999999,0.61,0.2966181255421014
100% Corpus,30,0.9099999999999999,0.9099999999999999,0.2760209555242294
100% Corpus,30,0.9099999999999999,symmetric,0.2950835547684576
100% Corpus,30,symmetric,0.01,0.2905623188429977
100% Corpus,30,symmetric,0.31,0.33260337345045465
100% Corpus,30,symmetric,0.61,0.3902575909574242
100% Corpus,30,symmetric,0.9099999999999999,0.40252043558960143
100% Corpus,30,symmetric,symmetric,0.28751059890724806
100% Corpus,30,asymmetric,0.01,0.28765909474296514
100% Corpus,30,asymmetric,0.31,0.3156742854519425
100% Corpus,30,asymmetric,0.61,0.3421897391062166
100% Corpus,30,asymmetric,0.9099999999999999,0.36481819118488085
100% Corpus,30,asymmetric,symmetric,0.2927351298611086

