Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,0.01,0.2751664338326002
100% Corpus,2,0.01,0.31,0.2776331213611659
100% Corpus,2,0.01,0.61,0.2776331213611659
100% Corpus,2,0.01,0.9099999999999999,0.28463101353481834
100% Corpus,2,0.01,symmetric,0.2776331213611659
100% Corpus,2,0.31,0.01,0.2751664338326002
100% Corpus,2,0.31,0.31,0.2776331213611659
100% Corpus,2,0.31,0.61,0.2829893572084119
100% Corpus,2,0.31,0.9099999999999999,0.2813606606529399
100% Corpus,2,0.31,symmetric,0.2776331213611659
100% Corpus,2,0.61,0.01,0.2751664338326002
100% Corpus,2,0.61,0.31,0.28298935720841184
100% Corpus,2,0.61,0.61,0.2855960175846948
100% Corpus,2,0.61,0.9099999999999999,0.2813606606529399
100% Corpus,2,0.61,symmetric,0.2829893572084119
100% Corpus,2,0.9099999999999999,0.01,0.2750816868353041
100% Corpus,2,0.9099999999999999,0.31,0.28298935720841184
100% Corpus,2,0.9099999999999999,0.61,0.2855960175846948
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.2813606606529399
100% Corpus,2,0.9099999999999999,symmetric,0.28298935720841184
100% Corpus,2,symmetric,0.01,0.2751664338326002
100% Corpus,2,symmetric,0.31,0.2776331213611659
100% Corpus,2,symmetric,0.61,0.2829893572084119
100% Corpus,2,symmetric,0.9099999999999999,0.2813606606529399
100% Corpus,2,symmetric,symmetric,0.2829893572084119
100% Corpus,2,asymmetric,0.01,0.28298935720841184
100% Corpus,2,asymmetric,0.31,0.2872376739111012
100% Corpus,2,asymmetric,0.61,0.279844470918471
100% Corpus,2,asymmetric,0.9099999999999999,0.2831985599552843
100% Corpus,2,asymmetric,symmetric,0.28723767391110117
100% Corpus,7,0.01,0.01,0.2949244017672254
100% Corpus,7,0.01,0.31,0.2924230111623859
100% Corpus,7,0.01,0.61,0.29498900297649017
100% Corpus,7,0.01,0.9099999999999999,0.2965677292564239
100% Corpus,7,0.01,symmetric,0.291124077291293
100% Corpus,7,0.31,0.01,0.29926047698443753
100% Corpus,7,0.31,0.31,0.29627268187332767
100% Corpus,7,0.31,0.61,0.2896695305902813
100% Corpus,7,0.31,0.9099999999999999,0.29385410887093844
100% Corpus,7,0.31,symmetric,0.29269530898026613
100% Corpus,7,0.61,0.01,0.29550022751443566
100% Corpus,7,0.61,0.31,0.2914379802470203
100% Corpus,7,0.61,0.61,0.29713259094345407
100% Corpus,7,0.61,0.9099999999999999,0.29569213271643563
